backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
neon,encode,standard,padded,24,4,699050,17760930,900.852869
neon,encode,standard,padded,24,5,699050,17820912,897.820759
neon,encode,standard,padded,24,6,699050,17423014,918.324737
neon,encode,standard,padded,24,7,699050,17712248,903.328857
neon,encode,standard,padded,24,8,699050,17651806,906.421968
neon,encode,standard,padded,24,9,699050,17587855,909.717799
neon,encode,standard,padded,24,10,699050,17634151,907.329462
neon,encode,standard,padded,24,11,699050,17562262,911.043506
neon,encode,standard,padded,24,12,699050,17445997,917.114954
neon,encode,standard,padded,24,13,699050,17651840,906.420223
neon,encode,standard,padded,24,14,699050,17640001,907.028562
neon,decode,standard,padded,24,0,699050,57551126,278.013409
neon,decode,standard,padded,24,1,699050,57546680,278.034888
neon,decode,standard,padded,24,2,699050,57509293,278.215640
neon,decode,standard,padded,24,3,699050,57521434,278.156917
neon,decode,standard,padded,24,4,699050,57676761,277.407824
neon,decode,standard,padded,24,5,699050,57544626,278.044812
neon,decode,standard,padded,24,6,699050,57307007,279.197703
neon,decode,standard,padded,24,7,699050,57230694,279.569993
neon,decode,standard,padded,24,8,699050,57224891,279.598344
neon,decode,standard,padded,24,9,699050,57192065,279.758822
neon,decode,standard,padded,24,10,699050,57224610,279.599717
neon,decode,standard,padded,24,11,699050,57214683,279.648228
neon,decode,standard,padded,24,12,699050,57233345,279.557044
neon,decode,standard,padded,24,13,699050,57209406,279.674023
neon,decode,standard,padded,24,14,699050,57303144,279.216525
scalar,encode,standard,padded,48,0,349525,69759714,229.358520
scalar,encode,standard,padded,48,1,349525,69757235,229.366671
scalar,encode,standard,padded,48,2,349525,69752592,229.381938
scalar,encode,standard,padded,48,3,349525,69755707,229.371695
scalar,encode,standard,padded,48,4,349525,69750099,229.390137
scalar,encode,standard,padded,48,5,349525,69856173,229.041816
scalar,encode,standard,padded,48,6,349525,69762647,229.348877
scalar,encode,standard,padded,48,7,349525,69758421,229.362771
scalar,encode,standard,padded,48,8,349525,69755092,229.373717
scalar,encode,standard,padded,48,9,349525,69752554,229.382063
