schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-5-correction-amd-9950x3d,run-1,4,base64-ng,decode,standard,padded,1,4,4194304,52369118,76.380893,ssse3-sse4.1,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-ng,encode,standard,padded,1,4,4194304,41010785,97.535319,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-ng,encode,standard,padded,1,4,4194304,37911982,105.507541,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64-ng,encode,standard,padded,1,4,4194304,38287798,104.471926,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-ng,encode,standard,padded,1,4,4194304,38333995,104.346025,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-ng,encode,standard,padded,1,4,4194304,38159638,104.822797,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-ng,decode,standard,padded,1,4,4194304,56727582,70.512436,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-ng,decode,standard,padded,1,4,4194304,56484275,70.816170,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64-ng,decode,standard,padded,1,4,4194304,56516105,70.776286,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-ng,decode,standard,padded,1,4,4194304,56244083,71.118592,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-ng,decode,standard,padded,1,4,4194304,56146328,71.242415,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
