schema_version,engine,operation,alphabet,padding,input_len,backend,target_arch,target_os,sample_count,median_throughput_mib_s,minimum_throughput_mib_s,maximum_throughput_mib_s
1,base64-0.23.0,decode,url-safe,unpadded,1024,external,x86_64,linux,10,3571.404586,2524.834907,3983.028316
1,base64-0.23.0,decode,url-safe,unpadded,11,external,x86_64,linux,10,680.275952,668.920740,692.746793
1,base64-0.23.0,decode,url-safe,unpadded,12,external,x86_64,linux,10,716.123852,693.071477,733.092522
1,base64-0.23.0,decode,url-safe,unpadded,15,external,x86_64,linux,10,842.404000,827.587872,853.412080
1,base64-0.23.0,decode,url-safe,unpadded,16,external,x86_64,linux,10,908.105023,889.250913,943.340160
1,base64-0.23.0,decode,url-safe,unpadded,2,external,x86_64,linux,10,150.908141,147.593530,152.999326
1,base64-0.23.0,decode,url-safe,unpadded,23,external,x86_64,linux,10,1172.028953,1127.497774,1179.149057
1,base64-0.23.0,decode,url-safe,unpadded,24,external,x86_64,linux,10,1170.290716,1164.789429,1178.194928
1,base64-0.23.0,decode,url-safe,unpadded,3,external,x86_64,linux,10,218.236594,214.481439,221.123884
1,base64-0.23.0,decode,url-safe,unpadded,31,external,x86_64,linux,10,1459.195512,1408.391339,1505.778311
1,base64-0.23.0,decode,url-safe,unpadded,32,external,x86_64,linux,10,1488.522520,1433.459012,1537.214621
1,base64-0.23.0,decode,url-safe,unpadded,47,external,x86_64,linux,10,1796.991951,1763.370663,1839.193395
1,base64-0.23.0,decode,url-safe,unpadded,48,external,x86_64,linux,10,1782.122738,1605.226292,1839.662982
1,base64-0.23.0,decode,url-safe,unpadded,63,external,x86_64,linux,10,2106.343749,2049.420289,2125.670514
1,base64-0.23.0,decode,url-safe,unpadded,64,external,x86_64,linux,10,2178.974347,2157.776627,2213.083417
1,base64-0.23.0,decode,url-safe,unpadded,65536,external,x86_64,linux,10,4099.192408,4013.823609,4220.232851
1,base64-0.23.0,encode,standard,padded,1,external,x86_64,linux,10,135.961310,107.748528,137.959859
1,base64-0.23.0,encode,standard,padded,1024,external,x86_64,linux,10,4616.331339,4532.367335,4853.355853
1,base64-0.23.0,encode,standard,padded,11,external,x86_64,linux,10,1021.057378,997.386144,1041.652381
1,base64-0.23.0,encode,standard,padded,12,external,x86_64,linux,10,1114.614284,1066.272408,1157.226492
1,base64-0.23.0,encode,standard,padded,15,external,x86_64,linux,10,1251.017187,1079.418329,1371.896531
1,base64-0.23.0,encode,standard,padded,16,external,x86_64,linux,10,1294.221714,1220.095460,1379.586738
1,base64-0.23.0,encode,standard,padded,2,external,x86_64,linux,10,262.702356,254.835682,268.437423
1,base64-0.23.0,encode,standard,padded,23,external,x86_64,linux,10,1520.836062,1454.207732,1652.067499
1,base64-0.23.0,encode,standard,padded,24,external,x86_64,linux,10,1624.011498,1514.243499,1751.368915
1,base64-0.23.0,encode,standard,padded,3,external,x86_64,linux,10,386.563790,355.663846,392.320852
1,base64-0.23.0,encode,standard,padded,31,external,x86_64,linux,10,2175.127056,2105.265582,2294.467795
1,base64-0.23.0,encode,standard,padded,32,external,x86_64,linux,10,2177.806422,2108.224659,2288.027154
1,base64-0.23.0,encode,standard,padded,47,external,x86_64,linux,10,2351.627333,2220.407276,2524.979839
1,base64-0.23.0,encode,standard,padded,48,external,x86_64,linux,10,2452.438046,2289.080325,2601.404596
1,base64-0.23.0,encode,standard,padded,63,external,x86_64,linux,10,2960.815603,2851.101878,3067.604699
1,base64-0.23.0,encode,standard,padded,64,external,x86_64,linux,10,2903.165553,2781.705004,2967.649651
1,base64-0.23.0,encode,standard,padded,65536,external,x86_64,linux,10,5010.673631,4969.839288,5055.483936
1,base64-0.23.0,encode,standard,unpadded,1,external,x86_64,linux,10,146.574535,144.831182,148.809740
1,base64-0.23.0,encode,standard,unpadded,1024,external,x86_64,linux,10,4700.485511,4554.651837,4888.780249
1,base64-0.23.0,encode,standard,unpadded,11,external,x86_64,linux,10,1053.985531,999.275571,1111.980485
1,base64-0.23.0,encode,standard,unpadded,12,external,x86_64,linux,10,1146.923802,1065.336677,1219.728947
1,base64-0.23.0,encode,standard,unpadded,15,external,x86_64,linux,10,1324.558073,1240.832930,1420.624211
1,base64-0.23.0,encode,standard,unpadded,16,external,x86_64,linux,10,1321.042784,1244.578306,1407.950981
1,base64-0.23.0,encode,standard,unpadded,2,external,x86_64,linux,10,276.558779,269.936771,282.903098
1,base64-0.23.0,encode,standard,unpadded,23,external,x86_64,linux,10,1610.106732,1500.386555,1722.955958
1,base64-0.23.0,encode,standard,unpadded,24,external,x86_64,linux,10,1662.953728,1558.773078,1826.458703
1,base64-0.23.0,encode,standard,unpadded,3,external,x86_64,linux,10,408.178173,388.703708,417.755997
1,base64-0.23.0,encode,standard,unpadded,31,external,x86_64,linux,10,2243.256450,2172.192105,2316.191867
1,base64-0.23.0,encode,standard,unpadded,32,external,x86_64,linux,10,2231.629476,2178.356180,2314.273746
1,base64-0.23.0,encode,standard,unpadded,47,external,x86_64,linux,10,2464.691541,2349.341512,2593.322618
1,base64-0.23.0,encode,standard,unpadded,48,external,x86_64,linux,10,2452.842988,2346.431206,2567.743587
1,base64-0.23.0,encode,standard,unpadded,63,external,x86_64,linux,10,2945.091017,2818.037723,3100.213017
1,base64-0.23.0,encode,standard,unpadded,64,external,x86_64,linux,10,2868.588042,1991.564728,3081.728202
1,base64-0.23.0,encode,standard,unpadded,65536,external,x86_64,linux,10,4993.991735,4927.206680,5068.577858
1,base64-0.23.0,encode,url-safe,padded,1,external,x86_64,linux,10,142.807579,137.078064,143.891559
1,base64-0.23.0,encode,url-safe,padded,1024,external,x86_64,linux,10,4679.627263,4631.795423,4921.804826
1,base64-0.23.0,encode,url-safe,padded,11,external,x86_64,linux,10,1048.140832,1001.380952,1110.724383
1,base64-0.23.0,encode,url-safe,padded,12,external,x86_64,linux,10,1123.078256,1027.378952,1225.919827
1,base64-0.23.0,encode,url-safe,padded,15,external,x86_64,linux,10,1321.983162,1241.368966,1392.558503
1,base64-0.23.0,encode,url-safe,padded,16,external,x86_64,linux,10,1316.502488,1241.354740,1403.047981
1,base64-0.23.0,encode,url-safe,padded,2,external,x86_64,linux,10,271.122568,243.436022,276.905660
1,base64-0.23.0,encode,url-safe,padded,23,external,x86_64,linux,10,1606.373299,1435.866314,1722.852064
1,base64-0.23.0,encode,url-safe,padded,24,external,x86_64,linux,10,1615.201549,1125.516612,1778.027822
