schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-5-correction-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,28584701,139.934995,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,1,base64-ng,encode,standard,padded,1,4,4194304,27760239,144.090978,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,2,base64-ng,encode,standard,padded,1,4,4194304,28361410,141.036712,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,3,base64-ng,encode,standard,padded,1,4,4194304,27670700,144.557239,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,4,base64-ng,encode,standard,padded,1,4,4194304,28043442,142.635843,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,0,base64-ng,decode,standard,padded,1,4,4194304,60003136,66.663182,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,1,base64-ng,decode,standard,padded,1,4,4194304,60348607,66.281563,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,2,base64-ng,decode,standard,padded,1,4,4194304,59994320,66.672978,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,3,base64-ng,decode,standard,padded,1,4,4194304,59708632,66.991989,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,4,base64-ng,decode,standard,padded,1,4,4194304,60048411,66.612920,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,27789273,143.940433,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,1,base64-ng,encode,standard,padded,1,4,4194304,27490631,145.504117,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,2,base64-ng,encode,standard,padded,1,4,4194304,27734991,144.222149,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,3,base64-ng,encode,standard,padded,1,4,4194304,27762082,144.081413,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,4,base64-ng,encode,standard,padded,1,4,4194304,27624393,144.799562,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,0,base64-ng,decode,standard,padded,1,4,4194304,40046958,99.882743,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,1,base64-ng,decode,standard,padded,1,4,4194304,40046067,99.884965,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,2,base64-ng,decode,standard,padded,1,4,4194304,41734355,95.844299,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-2,3,base64-ng,decode,standard,padded,1,4,4194304,41491739,96.404733,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
