backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
ssse3-sse4.1,standard,padded,48,5,349525,25701215,622.538068
ssse3-sse4.1,standard,padded,48,6,349525,25740700,621.583125
ssse3-sse4.1,standard,padded,48,7,349525,25666730,623.374491
ssse3-sse4.1,standard,padded,48,8,349525,25674695,623.181103
ssse3-sse4.1,standard,padded,48,9,349525,25739868,621.603217
ssse3-sse4.1,standard,padded,48,10,349525,25719460,622.096449
ssse3-sse4.1,standard,padded,48,11,349525,25722986,622.011175
ssse3-sse4.1,standard,padded,48,12,349525,25747933,621.408512
ssse3-sse4.1,standard,padded,48,13,349525,25681899,623.006295
ssse3-sse4.1,standard,padded,48,14,349525,25736782,621.677751
avx2,standard,padded,48,0,349525,24762048,646.149492
avx2,standard,padded,48,1,349525,24796101,645.262122
avx2,standard,padded,48,2,349525,23328158,685.865757
avx2,standard,padded,48,3,349525,22629895,707.028678
avx2,standard,padded,48,4,349525,22650633,706.381351
avx2,standard,padded,48,5,349525,22642127,706.646718
avx2,standard,padded,48,6,349525,22615818,707.468761
avx2,standard,padded,48,7,349525,22582626,708.508600
avx2,standard,padded,48,8,349525,22560804,709.193907
avx2,standard,padded,48,9,349525,22541157,709.812045
avx2,standard,padded,48,10,349525,22519356,710.499214
avx2,standard,padded,48,11,349525,22550244,709.526014
avx2,standard,padded,48,12,349525,22533423,710.055669
avx2,standard,padded,48,13,349525,22528623,710.206955
avx2,standard,padded,48,14,349525,22593356,708.172117
avx512-vbmi,standard,padded,48,0,349525,24900859,642.547502
avx512-vbmi,standard,padded,48,1,349525,24153472,662.430012
avx512-vbmi,standard,padded,48,2,349525,22636156,706.833119
avx512-vbmi,standard,padded,48,3,349525,22811405,701.402861
avx512-vbmi,standard,padded,48,4,349525,22756823,703.085169
avx512-vbmi,standard,padded,48,5,349525,22699545,704.859271
avx512-vbmi,standard,padded,48,6,349525,22674909,705.625092
avx512-vbmi,standard,padded,48,7,349525,22690759,705.132197
avx512-vbmi,standard,padded,48,8,349525,22726065,704.036741
avx512-vbmi,standard,padded,48,9,349525,22675630,705.602655
avx512-vbmi,standard,padded,48,10,349525,22685138,705.306917
avx512-vbmi,standard,padded,48,11,349525,22687422,705.235912
avx512-vbmi,standard,padded,48,12,349525,22649722,706.409763
avx512-vbmi,standard,padded,48,13,349525,22676411,705.578354
avx512-vbmi,standard,padded,48,14,349525,22670521,705.761669
scalar,standard,padded,64,0,262144,52420055,305.226692
scalar,standard,padded,64,1,262144,52101616,307.092202
scalar,standard,padded,64,2,262144,52486301,304.841448
scalar,standard,padded,64,3,262144,52587721,304.253535
scalar,standard,padded,64,4,262144,51528096,310.510212
scalar,standard,padded,64,5,262144,51548145,310.389443
scalar,standard,padded,64,6,262144,51472211,310.847342
scalar,standard,padded,64,7,262144,51470919,310.855145
scalar,standard,padded,64,8,262144,51537134,310.455758
scalar,standard,padded,64,9,262144,51489754,310.741434
scalar,standard,padded,64,10,262144,51477401,310.816003
scalar,standard,padded,64,11,262144,51484525,310.772994
scalar,standard,padded,64,12,262144,52167289,306.705606
scalar,standard,padded,64,13,262144,51495485,310.706851
scalar,standard,padded,64,14,262144,51376120,311.428734
ssse3-sse4.1,standard,padded,64,0,262144,28445270,562.483675
ssse3-sse4.1,standard,padded,64,1,262144,28457032,562.251186
ssse3-sse4.1,standard,padded,64,2,262144,28483912,561.720595
ssse3-sse4.1,standard,padded,64,3,262144,28498030,561.442317
ssse3-sse4.1,standard,padded,64,4,262144,28453977,562.311553
ssse3-sse4.1,standard,padded,64,5,262144,28464957,562.094649
ssse3-sse4.1,standard,padded,64,6,262144,28523948,560.932168
ssse3-sse4.1,standard,padded,64,7,262144,28492008,561.560982
ssse3-sse4.1,standard,padded,64,8,262144,28473813,561.919824
ssse3-sse4.1,standard,padded,64,9,262144,28469306,562.008782
ssse3-sse4.1,standard,padded,64,10,262144,28464917,562.095438
ssse3-sse4.1,standard,padded,64,11,262144,28438086,562.625769
ssse3-sse4.1,standard,padded,64,12,262144,28931726,553.026114
ssse3-sse4.1,standard,padded,64,13,262144,28975778,552.185346
ssse3-sse4.1,standard,padded,64,14,262144,29145528,548.969296
avx2,standard,padded,64,0,262144,36604888,437.100094
avx2,standard,padded,64,1,262144,36786279,434.944779
avx2,standard,padded,64,2,262144,36951120,433.004466
avx2,standard,padded,64,3,262144,36905503,433.539681
avx2,standard,padded,64,4,262144,37142990,430.767690
avx2,standard,padded,64,5,262144,36830764,434.419443
avx2,standard,padded,64,6,262144,36829010,434.440133
avx2,standard,padded,64,7,262144,36868584,433.973814
avx2,standard,padded,64,8,262144,36867502,433.986550
avx2,standard,padded,64,9,262144,36967661,432.810721
avx2,standard,padded,64,10,262144,36849208,434.202005
avx2,standard,padded,64,11,262144,36794846,434.843510
avx2,standard,padded,64,12,262144,36909111,433.497301
avx2,standard,padded,64,13,262144,36920201,433.367088
avx2,standard,padded,64,14,262144,37080554,431.493014
avx512-vbmi,standard,padded,64,0,262144,36742326,435.465082
avx512-vbmi,standard,padded,64,1,262144,36917837,433.394838
avx512-vbmi,standard,padded,64,2,262144,36804724,434.726803
avx512-vbmi,standard,padded,64,3,262144,36716579,435.770446
avx512-vbmi,standard,padded,64,4,262144,37309033,428.850568
