schema_version,engine,operation,alphabet,padding,input_len,backend,target_arch,target_os,sample_count,median_throughput_mib_s,minimum_throughput_mib_s,maximum_throughput_mib_s
1,base64-0.23.0,decode,url-safe,unpadded,1024,external,x86_64,linux,10,3989.753491,3716.898694,4050.103835
1,base64-0.23.0,decode,url-safe,unpadded,11,external,x86_64,linux,10,716.172265,694.339631,725.618020
1,base64-0.23.0,decode,url-safe,unpadded,12,external,x86_64,linux,10,763.781349,754.357301,770.431019
1,base64-0.23.0,decode,url-safe,unpadded,15,external,x86_64,linux,10,890.104498,875.435324,901.724592
1,base64-0.23.0,decode,url-safe,unpadded,16,external,x86_64,linux,10,963.133036,954.481266,972.746087
1,base64-0.23.0,decode,url-safe,unpadded,2,external,x86_64,linux,10,154.771847,154.377307,155.097745
1,base64-0.23.0,decode,url-safe,unpadded,23,external,x86_64,linux,10,1168.495459,1160.743261,1213.018557
1,base64-0.23.0,decode,url-safe,unpadded,24,external,x86_64,linux,10,1196.039010,1181.786922,1238.427544
1,base64-0.23.0,decode,url-safe,unpadded,3,external,x86_64,linux,10,223.575833,221.530146,225.993652
1,base64-0.23.0,decode,url-safe,unpadded,31,external,x86_64,linux,10,1532.750251,1499.563134,1560.160707
1,base64-0.23.0,decode,url-safe,unpadded,32,external,x86_64,linux,10,1558.023727,1534.125274,1576.668460
1,base64-0.23.0,decode,url-safe,unpadded,47,external,x86_64,linux,10,1868.990437,1838.643033,1898.841089
1,base64-0.23.0,decode,url-safe,unpadded,48,external,x86_64,linux,10,1850.161642,1826.057641,1875.139929
1,base64-0.23.0,decode,url-safe,unpadded,63,external,x86_64,linux,10,2189.625496,2164.917988,2206.910050
1,base64-0.23.0,decode,url-safe,unpadded,64,external,x86_64,linux,10,2242.835636,2162.428667,2256.436061
1,base64-0.23.0,decode,url-safe,unpadded,65536,external,x86_64,linux,10,4232.360890,3373.215990,4254.323456
1,base64-0.23.0,encode,standard,padded,1,external,x86_64,linux,10,144.529929,119.583213,146.743643
1,base64-0.23.0,encode,standard,padded,1024,external,x86_64,linux,10,4724.351806,4660.179697,4767.586135
1,base64-0.23.0,encode,standard,padded,11,external,x86_64,linux,10,1096.197375,1005.877141,1121.281319
1,base64-0.23.0,encode,standard,padded,12,external,x86_64,linux,10,1208.261206,1190.985123,1246.959733
1,base64-0.23.0,encode,standard,padded,15,external,x86_64,linux,10,1376.101298,1335.894307,1421.185990
1,base64-0.23.0,encode,standard,padded,16,external,x86_64,linux,10,1397.908251,1383.411923,1432.888004
1,base64-0.23.0,encode,standard,padded,2,external,x86_64,linux,10,276.408829,273.112523,278.789590
1,base64-0.23.0,encode,standard,padded,23,external,x86_64,linux,10,1707.502329,1678.770907,1753.089952
1,base64-0.23.0,encode,standard,padded,24,external,x86_64,linux,10,1759.233594,1750.408609,1814.645397
1,base64-0.23.0,encode,standard,padded,3,external,x86_64,linux,10,410.654965,397.635761,413.013932
1,base64-0.23.0,encode,standard,padded,31,external,x86_64,linux,10,2074.941961,1866.467290,2313.172771
1,base64-0.23.0,encode,standard,padded,32,external,x86_64,linux,10,2094.243658,1894.832980,2305.201803
1,base64-0.23.0,encode,standard,padded,47,external,x86_64,linux,10,2508.041516,2331.016161,2541.391313
1,base64-0.23.0,encode,standard,padded,48,external,x86_64,linux,10,2576.275704,2563.194022,2638.853533
1,base64-0.23.0,encode,standard,padded,63,external,x86_64,linux,10,3046.627873,3023.374357,3122.083078
1,base64-0.23.0,encode,standard,padded,64,external,x86_64,linux,10,3028.829962,2994.989383,3091.271332
1,base64-0.23.0,encode,standard,padded,65536,external,x86_64,linux,10,5011.913129,4962.366652,5076.180783
1,base64-0.23.0,encode,standard,unpadded,1,external,x86_64,linux,10,147.556955,146.740478,148.125863
1,base64-0.23.0,encode,standard,unpadded,1024,external,x86_64,linux,10,4821.301956,4663.722303,4934.640684
1,base64-0.23.0,encode,standard,unpadded,11,external,x86_64,linux,10,1082.780769,1071.458067,1107.750797
1,base64-0.23.0,encode,standard,unpadded,12,external,x86_64,linux,10,1209.924264,1180.909687,1241.654502
1,base64-0.23.0,encode,standard,unpadded,15,external,x86_64,linux,10,1383.360383,1369.083393,1414.619393
1,base64-0.23.0,encode,standard,unpadded,16,external,x86_64,linux,10,1396.452038,1385.384539,1437.531356
1,base64-0.23.0,encode,standard,unpadded,2,external,x86_64,linux,10,281.154769,274.331733,285.311568
1,base64-0.23.0,encode,standard,unpadded,23,external,x86_64,linux,10,1689.459149,1610.334099,1720.921178
1,base64-0.23.0,encode,standard,unpadded,24,external,x86_64,linux,10,1790.876677,1778.091052,1843.094356
1,base64-0.23.0,encode,standard,unpadded,3,external,x86_64,linux,10,418.617170,402.982661,427.037666
1,base64-0.23.0,encode,standard,unpadded,31,external,x86_64,linux,10,2101.257343,1870.638747,2354.840813
1,base64-0.23.0,encode,standard,unpadded,32,external,x86_64,linux,10,2103.928598,1873.071322,2362.436783
1,base64-0.23.0,encode,standard,unpadded,47,external,x86_64,linux,10,2560.288256,2520.404119,2626.212980
1,base64-0.23.0,encode,standard,unpadded,48,external,x86_64,linux,10,2573.545126,2551.611152,2634.170152
1,base64-0.23.0,encode,standard,unpadded,63,external,x86_64,linux,10,3065.655193,3020.399662,3138.550048
1,base64-0.23.0,encode,standard,unpadded,64,external,x86_64,linux,10,3055.857614,3024.185927,3127.081464
1,base64-0.23.0,encode,standard,unpadded,65536,external,x86_64,linux,10,5010.029524,4950.856560,5070.768919
1,base64-0.23.0,encode,url-safe,padded,1,external,x86_64,linux,10,148.683590,147.297755,149.532576
1,base64-0.23.0,encode,url-safe,padded,1024,external,x86_64,linux,10,4891.236592,4830.048699,4939.338746
1,base64-0.23.0,encode,url-safe,padded,11,external,x86_64,linux,10,1111.756361,1100.462466,1138.596725
1,base64-0.23.0,encode,url-safe,padded,12,external,x86_64,linux,10,1210.753536,1193.145072,1234.922336
1,base64-0.23.0,encode,url-safe,padded,15,external,x86_64,linux,10,1397.670131,1381.586265,1435.591647
1,base64-0.23.0,encode,url-safe,padded,16,external,x86_64,linux,10,1408.214183,1390.000890,1454.033635
1,base64-0.23.0,encode,url-safe,padded,2,external,x86_64,linux,10,284.047799,273.885166,285.120461
1,base64-0.23.0,encode,url-safe,padded,23,external,x86_64,linux,10,1706.752952,1693.655373,1744.708536
1,base64-0.23.0,encode,url-safe,padded,24,external,x86_64,linux,10,1790.412821,1782.258327,1844.439704
1,base64-0.23.0,encode,url-safe,padded,3,external,x86_64,linux,10,416.368355,409.679861,424.888063
1,base64-0.23.0,encode,url-safe,padded,31,external,x86_64,linux,10,2009.185422,1876.379403,2280.927372
1,base64-0.23.0,encode,url-safe,padded,32,external,x86_64,linux,10,2103.761481,1902.253647,2331.070253
1,base64-0.23.0,encode,url-safe,padded,47,external,x86_64,linux,10,2507.443257,2473.558811,2561.314776
1,base64-0.23.0,encode,url-safe,padded,48,external,x86_64,linux,10,2587.096170,2570.091310,2652.581895
1,base64-0.23.0,encode,url-safe,padded,63,external,x86_64,linux,10,3053.190834,3033.550239,3136.896030
1,base64-0.23.0,encode,url-safe,padded,64,external,x86_64,linux,10,3017.160530,3001.790568,3094.387323
1,base64-0.23.0,encode,url-safe,padded,65536,external,x86_64,linux,10,5037.754635,4965.884374,5067.871469
1,base64-0.23.0,encode,url-safe,unpadded,1,external,x86_64,linux,10,146.754727,145.644948,147.158767
1,base64-0.23.0,encode,url-safe,unpadded,1024,external,x86_64,linux,10,4735.063423,4665.136502,4927.941180
1,base64-0.23.0,encode,url-safe,unpadded,11,external,x86_64,linux,10,1093.462332,1080.493663,1104.520360
1,base64-0.23.0,encode,url-safe,unpadded,12,external,x86_64,linux,10,1215.973404,1197.497164,1232.265354
1,base64-0.23.0,encode,url-safe,unpadded,15,external,x86_64,linux,10,1390.040181,1381.270910,1407.418576
1,base64-0.23.0,encode,url-safe,unpadded,16,external,x86_64,linux,10,1408.705473,1392.963792,1440.794512
1,base64-0.23.0,encode,url-safe,unpadded,2,external,x86_64,linux,10,278.458452,264.763564,283.757675
1,base64-0.23.0,encode,url-safe,unpadded,23,external,x86_64,linux,10,1688.152127,1674.307390,1725.286472
1,base64-0.23.0,encode,url-safe,unpadded,24,external,x86_64,linux,10,1783.237726,1775.024048,1843.144463
1,base64-0.23.0,encode,url-safe,unpadded,3,external,x86_64,linux,10,414.622049,397.883404,418.922465
1,base64-0.23.0,encode,url-safe,unpadded,31,external,x86_64,linux,10,2105.573411,1897.208296,2368.418638
1,base64-0.23.0,encode,url-safe,unpadded,32,external,x86_64,linux,10,2104.176355,1893.099510,2343.398033
1,base64-0.23.0,encode,url-safe,unpadded,47,external,x86_64,linux,10,2550.166477,2536.561324,2614.656352
1,base64-0.23.0,encode,url-safe,unpadded,48,external,x86_64,linux,10,2574.757804,2445.023284,2617.590630
1,base64-0.23.0,encode,url-safe,unpadded,63,external,x86_64,linux,10,3052.478651,3016.361365,3126.238575
1,base64-0.23.0,encode,url-safe,unpadded,64,external,x86_64,linux,10,3046.027287,2942.478950,3077.950639
1,base64-0.23.0,encode,url-safe,unpadded,65536,external,x86_64,linux,10,5017.626331,4936.595600,5069.605686
1,base64-ng,decode,standard,padded,1,auto,x86_64,linux,10,69.540093,68.884946,70.306162
1,base64-ng,decode,standard,padded,1,avx2,x86_64,linux,10,78.785246,73.608370,79.630186
1,base64-ng,decode,standard,padded,1,avx512-vbmi,x86_64,linux,10,73.581294,72.788151,74.049634
1,base64-ng,decode,standard,padded,1,scalar,x86_64,linux,10,103.977954,95.215688,104.594226
1,base64-ng,decode,standard,padded,1,ssse3-sse4.1,x86_64,linux,10,86.947693,85.447767,87.788723
1,base64-ng,decode,standard,padded,1024,auto,x86_64,linux,10,144.139476,141.721518,147.045979
1,base64-ng,decode,standard,padded,1024,avx2,x86_64,linux,10,112.578335,111.865097,113.423003
1,base64-ng,decode,standard,padded,1024,avx512-vbmi,x86_64,linux,10,143.977835,141.025484,146.557371
1,base64-ng,decode,standard,padded,1024,scalar,x86_64,linux,10,309.596908,309.084352,310.352506
1,base64-ng,decode,standard,padded,1024,ssse3-sse4.1,x86_64,linux,10,79.411004,78.625533,79.983699
1,base64-ng,decode,standard,padded,11,auto,x86_64,linux,10,64.127664,62.778383,64.530731
1,base64-ng,decode,standard,padded,11,avx2,x86_64,linux,10,63.518787,61.448994,63.962729
1,base64-ng,decode,standard,padded,11,avx512-vbmi,x86_64,linux,10,64.063766,63.398307,64.492546
1,base64-ng,decode,standard,padded,11,scalar,x86_64,linux,10,276.273331,271.225735,277.880811
1,base64-ng,decode,standard,padded,11,ssse3-sse4.1,x86_64,linux,10,63.734938,60.726228,64.234389
1,base64-ng,decode,standard,padded,12,auto,x86_64,linux,10,70.859133,70.314177,71.236306
1,base64-ng,decode,standard,padded,12,avx2,x86_64,linux,10,71.275954,70.636443,72.100750
1,base64-ng,decode,standard,padded,12,avx512-vbmi,x86_64,linux,10,69.517602,68.230310,70.063502
1,base64-ng,decode,standard,padded,12,scalar,x86_64,linux,10,289.215341,288.753682,289.674211
1,base64-ng,decode,standard,padded,12,ssse3-sse4.1,x86_64,linux,10,71.686221,70.568809,72.099175
1,base64-ng,decode,standard,padded,15,auto,x86_64,linux,10,81.793612,81.448518,82.052136
1,base64-ng,decode,standard,padded,15,avx2,x86_64,linux,10,82.518285,81.052064,83.020009
1,base64-ng,decode,standard,padded,15,avx512-vbmi,x86_64,linux,10,81.395560,80.880437,81.521717
1,base64-ng,decode,standard,padded,15,scalar,x86_64,linux,10,294.881295,293.604530,295.251022
1,base64-ng,decode,standard,padded,15,ssse3-sse4.1,x86_64,linux,10,82.697586,80.457770,83.449696
1,base64-ng,decode,standard,padded,16,auto,x86_64,linux,10,82.409109,81.908348,83.239365
1,base64-ng,decode,standard,padded,16,avx2,x86_64,linux,10,82.944215,81.758545,84.338012
1,base64-ng,decode,standard,padded,16,avx512-vbmi,x86_64,linux,10,83.109060,81.493949,83.792288
1,base64-ng,decode,standard,padded,16,scalar,x86_64,linux,10,284.236984,282.015273,284.793650
1,base64-ng,decode,standard,padded,16,ssse3-sse4.1,x86_64,linux,10,83.780449,83.299604,84.332971
1,base64-ng,decode,standard,padded,2,auto,x86_64,linux,10,121.759403,120.839456,122.749721
1,base64-ng,decode,standard,padded,2,avx2,x86_64,linux,10,138.055162,135.085820,139.887990
1,base64-ng,decode,standard,padded,2,avx512-vbmi,x86_64,linux,10,125.693322,122.955844,126.589970
1,base64-ng,decode,standard,padded,2,scalar,x86_64,linux,10,170.392247,166.754769,171.574218
1,base64-ng,decode,standard,padded,2,ssse3-sse4.1,x86_64,linux,10,145.382322,143.501428,146.589495
1,base64-ng,decode,standard,padded,23,auto,x86_64,linux,10,96.672094,94.931476,97.138603
1,base64-ng,decode,standard,padded,23,avx2,x86_64,linux,10,96.665845,94.205340,98.452611
1,base64-ng,decode,standard,padded,23,avx512-vbmi,x86_64,linux,10,98.006158,97.404993,98.639236
1,base64-ng,decode,standard,padded,23,scalar,x86_64,linux,10,286.511541,257.841197,290.552477
1,base64-ng,decode,standard,padded,23,ssse3-sse4.1,x86_64,linux,10,69.442895,68.592284,69.905630
1,base64-ng,decode,standard,padded,24,auto,x86_64,linux,10,103.533836,100.599185,104.600446
1,base64-ng,decode,standard,padded,24,avx2,x86_64,linux,10,104.999324,103.499680,105.503321
1,base64-ng,decode,standard,padded,24,avx512-vbmi,x86_64,linux,10,104.215378,100.525778,104.952861
1,base64-ng,decode,standard,padded,24,scalar,x86_64,linux,10,301.593747,301.370604,302.107171
1,base64-ng,decode,standard,padded,24,ssse3-sse4.1,x86_64,linux,10,74.430106,73.888087,75.011747
1,base64-ng,decode,standard,padded,3,auto,x86_64,linux,10,161.945651,159.787553,162.728853
1,base64-ng,decode,standard,padded,3,avx2,x86_64,linux,10,180.222200,177.066628,181.605066
1,base64-ng,decode,standard,padded,3,avx512-vbmi,x86_64,linux,10,169.215948,167.325681,169.949087
1,base64-ng,decode,standard,padded,3,scalar,x86_64,linux,10,220.180370,195.208844,220.800813
1,base64-ng,decode,standard,padded,3,ssse3-sse4.1,x86_64,linux,10,193.456775,192.388514,194.289191
1,base64-ng,decode,standard,padded,31,auto,x86_64,linux,10,115.075680,113.207040,116.201172
1,base64-ng,decode,standard,padded,31,avx2,x86_64,linux,10,117.848118,116.655495,118.594636
1,base64-ng,decode,standard,padded,31,avx512-vbmi,x86_64,linux,10,116.764745,116.118304,117.603084
1,base64-ng,decode,standard,padded,31,scalar,x86_64,linux,10,278.205291,268.155588,293.804422
1,base64-ng,decode,standard,padded,31,ssse3-sse4.1,x86_64,linux,10,87.115110,86.283754,87.630819
1,base64-ng,decode,standard,padded,32,auto,x86_64,linux,10,118.831774,118.020110,119.436399
1,base64-ng,decode,standard,padded,32,avx2,x86_64,linux,10,119.299282,116.892412,119.909181
1,base64-ng,decode,standard,padded,32,avx512-vbmi,x86_64,linux,10,118.087271,114.282834,118.913381
1,base64-ng,decode,standard,padded,32,scalar,x86_64,linux,10,278.708676,270.820457,299.365345
1,base64-ng,decode,standard,padded,32,ssse3-sse4.1,x86_64,linux,10,88.707819,88.518463,88.883728
1,base64-ng,decode,standard,padded,47,auto,x86_64,linux,10,134.388553,130.705849,134.762658
1,base64-ng,decode,standard,padded,47,avx2,x86_64,linux,10,104.550068,102.960227,105.246680
1,base64-ng,decode,standard,padded,47,avx512-vbmi,x86_64,linux,10,132.101076,130.690958,133.015696
1,base64-ng,decode,standard,padded,47,scalar,x86_64,linux,10,304.176709,302.516628,305.073905
1,base64-ng,decode,standard,padded,47,ssse3-sse4.1,x86_64,linux,10,74.047463,73.444214,74.463317
1,base64-ng,decode,standard,padded,48,auto,x86_64,linux,10,137.603760,135.999526,138.192039
1,base64-ng,decode,standard,padded,48,avx2,x86_64,linux,10,107.753406,104.825153,108.341514
1,base64-ng,decode,standard,padded,48,avx512-vbmi,x86_64,linux,10,141.363889,141.166442,141.685266
1,base64-ng,decode,standard,padded,48,scalar,x86_64,linux,10,307.296849,303.606736,310.894568
1,base64-ng,decode,standard,padded,48,ssse3-sse4.1,x86_64,linux,10,74.429160,73.781186,75.328997
1,base64-ng,decode,standard,padded,63,auto,x86_64,linux,10,116.323762,114.329691,118.228094
1,base64-ng,decode,standard,padded,63,avx2,x86_64,linux,10,98.783067,97.066650,99.280490
1,base64-ng,decode,standard,padded,63,avx512-vbmi,x86_64,linux,10,117.630724,115.767931,119.081575
1,base64-ng,decode,standard,padded,63,scalar,x86_64,linux,10,316.336460,313.098661,317.809403
1,base64-ng,decode,standard,padded,63,ssse3-sse4.1,x86_64,linux,10,79.331383,78.724580,79.759071
1,base64-ng,decode,standard,padded,64,auto,x86_64,linux,10,115.363036,114.957477,115.675934
1,base64-ng,decode,standard,padded,64,avx2,x86_64,linux,10,97.785921,96.870459,98.535674
1,base64-ng,decode,standard,padded,64,avx512-vbmi,x86_64,linux,10,116.345586,114.964692,117.393971
1,base64-ng,decode,standard,padded,64,scalar,x86_64,linux,10,292.930171,291.120963,304.285573
1,base64-ng,decode,standard,padded,64,ssse3-sse4.1,x86_64,linux,10,80.117807,79.233315,80.513078
1,base64-ng,decode,standard,padded,65536,auto,x86_64,linux,10,146.710184,143.453170,149.169200
1,base64-ng,decode,standard,padded,65536,avx2,x86_64,linux,10,113.412484,111.385940,113.831614
1,base64-ng,decode,standard,padded,65536,avx512-vbmi,x86_64,linux,10,148.403175,147.994026,148.637142
1,base64-ng,decode,standard,padded,65536,scalar,x86_64,linux,10,311.681636,304.439234,312.863068
1,base64-ng,decode,standard,padded,65536,ssse3-sse4.1,x86_64,linux,10,78.853551,78.560450,79.249421
1,base64-ng,decode,standard,unpadded,1,auto,x86_64,linux,10,72.574601,68.886646,75.726780
1,base64-ng,decode,standard,unpadded,1,avx2,x86_64,linux,10,89.997388,89.644221,90.389614
1,base64-ng,decode,standard,unpadded,1,avx512-vbmi,x86_64,linux,10,80.543959,79.627799,80.890485
1,base64-ng,decode,standard,unpadded,1,scalar,x86_64,linux,10,115.528981,114.626009,116.514256
1,base64-ng,decode,standard,unpadded,1,ssse3-sse4.1,x86_64,linux,10,95.477440,95.259329,95.741571
1,base64-ng,decode,standard,unpadded,1024,auto,x86_64,linux,10,148.348978,147.699530,148.723941
1,base64-ng,decode,standard,unpadded,1024,avx2,x86_64,linux,10,115.326314,114.604544,115.622235
1,base64-ng,decode,standard,unpadded,1024,avx512-vbmi,x86_64,linux,10,148.519914,147.831772,149.226681
1,base64-ng,decode,standard,unpadded,1024,scalar,x86_64,linux,10,289.991261,289.306501,290.977296
1,base64-ng,decode,standard,unpadded,1024,ssse3-sse4.1,x86_64,linux,10,79.966992,78.956130,80.709122
1,base64-ng,decode,standard,unpadded,11,auto,x86_64,linux,10,235.851238,228.632210,238.866878
1,base64-ng,decode,standard,unpadded,11,avx2,x86_64,linux,10,244.118815,236.849170,246.409620
1,base64-ng,decode,standard,unpadded,11,avx512-vbmi,x86_64,linux,10,235.395893,233.184832,238.203621
1,base64-ng,decode,standard,unpadded,11,scalar,x86_64,linux,10,260.711059,253.369802,265.138525
1,base64-ng,decode,standard,unpadded,11,ssse3-sse4.1,x86_64,linux,10,249.130133,243.416101,249.534318
1,base64-ng,decode,standard,unpadded,12,auto,x86_64,linux,10,69.150203,67.676037,69.849089
1,base64-ng,decode,standard,unpadded,12,avx2,x86_64,linux,10,69.047162,65.264662,70.623165
1,base64-ng,decode,standard,unpadded,12,avx512-vbmi,x86_64,linux,10,69.433973,68.091272,69.793377
1,base64-ng,decode,standard,unpadded,12,scalar,x86_64,linux,10,268.538535,265.869354,268.910904
1,base64-ng,decode,standard,unpadded,12,ssse3-sse4.1,x86_64,linux,10,70.328356,69.616743,70.994652
1,base64-ng,decode,standard,unpadded,15,auto,x86_64,linux,10,81.158577,80.857570,81.644732
1,base64-ng,decode,standard,unpadded,15,avx2,x86_64,linux,10,82.342748,82.133057,82.619753
1,base64-ng,decode,standard,unpadded,15,avx512-vbmi,x86_64,linux,10,81.588509,80.760521,81.715485
1,base64-ng,decode,standard,unpadded,15,scalar,x86_64,linux,10,275.015281,274.288355,275.388669
1,base64-ng,decode,standard,unpadded,15,ssse3-sse4.1,x86_64,linux,10,82.228286,81.653275,82.625037
1,base64-ng,decode,standard,unpadded,16,auto,x86_64,linux,10,83.732775,83.267018,84.156611
1,base64-ng,decode,standard,unpadded,16,avx2,x86_64,linux,10,84.819726,84.029186,85.192220
1,base64-ng,decode,standard,unpadded,16,avx512-vbmi,x86_64,linux,10,84.264995,83.516274,84.552719
1,base64-ng,decode,standard,unpadded,16,scalar,x86_64,linux,10,270.930912,270.459409,271.043293
1,base64-ng,decode,standard,unpadded,16,ssse3-sse4.1,x86_64,linux,10,84.888548,84.432327,85.323690
1,base64-ng,decode,standard,unpadded,2,auto,x86_64,linux,10,130.664952,130.153120,131.065898
1,base64-ng,decode,standard,unpadded,2,avx2,x86_64,linux,10,149.152935,148.814468,149.360558
1,base64-ng,decode,standard,unpadded,2,avx512-vbmi,x86_64,linux,10,135.933646,134.934702,136.565357
1,base64-ng,decode,standard,unpadded,2,scalar,x86_64,linux,10,184.786919,183.680620,185.371681
1,base64-ng,decode,standard,unpadded,2,ssse3-sse4.1,x86_64,linux,10,158.378352,158.230896,158.563818
1,base64-ng,decode,standard,unpadded,23,auto,x86_64,linux,10,105.903621,104.565658,106.496979
1,base64-ng,decode,standard,unpadded,23,avx2,x86_64,linux,10,104.367863,102.939395,105.238601
