schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-3-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,33811366,118.303413,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,1,base64-ng,encode,standard,padded,1,4,4194304,33729814,118.589447,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,2,base64-ng,encode,standard,padded,1,4,4194304,33488148,119.445244,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,3,base64-ng,encode,standard,padded,1,4,4194304,33711168,118.655040,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,4,base64-ng,encode,standard,padded,1,4,4194304,33614225,118.997240,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,0,base64-ng,decode,standard,padded,1,4,4194304,50232207,79.630186,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,1,base64-ng,decode,standard,padded,1,4,4194304,50471036,79.253376,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,2,base64-ng,decode,standard,padded,1,4,4194304,50297370,79.527021,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,3,base64-ng,decode,standard,padded,1,4,4194304,50734853,78.841265,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,4,base64-ng,decode,standard,padded,1,4,4194304,50415603,79.340517,avx2,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,34966250,114.396025,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
