schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,encode,url-safe,unpadded,63,x86_64,linux,543.858518,943.597089,0.576367,non-admissible-below-scalar
1,avx2,encode,url-safe,unpadded,63,x86_64,linux,452.400890,943.597089,0.479443,non-admissible-below-scalar
1,avx512-vbmi,encode,url-safe,unpadded,63,x86_64,linux,609.803958,943.597089,0.646255,non-admissible-below-scalar
1,ssse3-sse4.1,encode,url-safe,unpadded,63,x86_64,linux,296.059983,943.597089,0.313757,non-admissible-below-scalar
1,auto,encode,url-safe,unpadded,64,x86_64,linux,544.325307,928.148996,0.586463,non-admissible-below-scalar
1,avx2,encode,url-safe,unpadded,64,x86_64,linux,462.193959,928.148996,0.497974,non-admissible-below-scalar
1,avx512-vbmi,encode,url-safe,unpadded,64,x86_64,linux,608.504496,928.148996,0.655611,non-admissible-below-scalar
1,ssse3-sse4.1,encode,url-safe,unpadded,64,x86_64,linux,300.334946,928.148996,0.323585,non-admissible-below-scalar
1,auto,encode,url-safe,unpadded,65536,x86_64,linux,1126.945489,2205.378521,0.510999,non-admissible-below-scalar
1,avx2,encode,url-safe,unpadded,65536,x86_64,linux,637.768343,2205.378521,0.289188,non-admissible-below-scalar
1,avx512-vbmi,encode,url-safe,unpadded,65536,x86_64,linux,1149.281140,2205.378521,0.521126,non-admissible-below-scalar
1,ssse3-sse4.1,encode,url-safe,unpadded,65536,x86_64,linux,339.953837,2205.378521,0.154148,non-admissible-below-scalar
