schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-3-amd-9950x3d,run-1,0,base64-ng,encode,standard,padded,1,4,4194304,27123584,147.473136,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,1,base64-ng,encode,standard,padded,1,4,4194304,26538643,150.723607,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,2,base64-ng,encode,standard,padded,1,4,4194304,26585131,150.460045,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,3,base64-ng,encode,standard,padded,1,4,4194304,28225117,141.717747,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,4,base64-ng,encode,standard,padded,1,4,4194304,26672435,149.967560,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,0,base64-ng,decode,standard,padded,1,4,4194304,57923438,69.056674,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,1,base64-ng,decode,standard,padded,1,4,4194304,58067840,68.884946,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,2,base64-ng,decode,standard,padded,1,4,4194304,58025760,68.934901,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,3,base64-ng,decode,standard,padded,1,4,4194304,57689959,69.336156,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,4,base64-ng,decode,standard,padded,1,4,4194304,57791169,69.214727,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,0,base64-ng,encode,standard,padded,1,4,4194304,26600128,150.375216,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,1,base64-ng,encode,standard,padded,1,4,4194304,26469894,151.115074,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,2,base64-ng,encode,standard,padded,1,4,4194304,26588757,150.439526,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,3,base64-ng,encode,standard,padded,1,4,4194304,26535427,150.741874,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-1,4,base64-ng,encode,standard,padded,1,4,4194304,26505802,150.910355,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
